Designator,Mid X,Mid Y,Rotation,Layer
D1,83.3496,-119.07,90.0,top
D10,235.7586,-119.07,90.0,top
D11,254.8098,-119.07,90.0,top
D12,273.861,-119.07,90.0,top
D13,292.9122,-119.07,90.0,top
D14,311.9634,-119.07,90.0,top
D15,350.0646,-119.07,90.0,top
D16,369.1164,-119.07,90.0,top
D17,88.1118,-138.1212,90.0,top
D18,111.9258,-138.1212,90.0,top
D19,130.977,-138.1212,90.0,top
D2,102.4002,-119.07,90.0,top
D20,150.0282,-138.1212,90.0,top
D21,169.0794,-138.1212,90.0,top
D22,188.1306,-138.1212,90.0,top
D23,207.1818,-138.1212,90.0,top
D24,226.233,-138.1212,90.0,top
D25,245.2836,-138.1212,90.0,top
D26,264.336,-138.1212,90.0,top
D27,283.3866,-138.1212,90.0,top
D28,302.4378,-138.1212,90.0,top
D29,321.489,-138.1212,90.0,top
D3,121.4508,-119.07,90.0,top
D30,347.6844,-147.6468,90.0,top
D31,369.117,-138.1212,90.0,top
D32,90.4932,-157.1724,90.0,top
D33,116.6892,-157.1724,90.0,top
D34,135.7392,-157.1724,90.0,top
D35,154.7916,-157.1724,90.0,top
D36,173.8428,-157.1724,90.0,top
D37,192.894,-157.1724,90.0,top
D38,211.9452,-157.1724,90.0,top
D39,230.9964,-157.1724,90.0,top
D4,350.0652,-195.2748,90.0,top
D40,250.0464,-157.1724,90.0,top
D41,269.0988,-157.1724,90.0,top
D42,288.15,-157.1724,90.0,top
D43,307.2012,-157.1724,90.0,top
D44,326.25255,-157.1718,90.0,top
D45,59.5344,-176.2236,90.0,top
D46,369.117,-157.1724,90.0,top
D47,85.7298,-176.2236,90.0,top
D48,107.163,-176.2236,90.0,top
D49,126.2142,-176.2236,90.0,top
D5,140.5026,-119.07,90.0,top
D50,145.2654,-176.2236,90.0,top
D51,164.3166,-176.2236,90.0,top
D52,183.3678,-176.2236,90.0,top
D53,202.419,-176.2236,90.0,top
D54,221.4702,-176.2236,90.0,top
D55,240.5214,-176.2236,90.0,top
D56,259.5726,-176.2236,90.0,top
D57,278.6238,-176.2236,90.0,top
